round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.746311,1.303430,1.980280,1.051419
0,random_intensity,0.746311,1.303430,1.980280,1.051419
0,crux_no_compress,0.790685,1.221550,1.785007,1.051419
0,crux,0.746311,1.303430,1.980280,1.051419
1,random_same,0.639194,1.944548,4.002478,1.004533
1,random_intensity,0.639194,1.944548,4.002478,1.004533
1,crux_no_compress,0.671708,1.862080,3.785232,1.004533
1,crux,0.660230,1.890236,3.785232,1.004533
2,random_same,0.652126,1.762059,3.218878,1.112471
2,random_intensity,0.652126,1.762059,3.218878,1.112471
2,crux_no_compress,0.674926,1.711278,3.127045,1.112471
2,crux,0.652126,1.762059,3.218878,1.112471
3,random_same,0.740065,1.362477,2.186380,1.051526
3,random_intensity,0.740065,1.362477,2.186380,1.051526
3,crux_no_compress,0.781145,1.295428,2.051750,0.995651
3,crux,0.740065,1.362477,2.186380,1.051526
4,random_same,0.566356,2.332884,4.390621,0.959082
4,random_intensity,0.566356,2.332884,4.390621,0.959082
4,crux_no_compress,0.624822,2.090727,3.647230,0.959082
4,crux,0.594962,2.198530,3.853206,0.959082
5,random_same,0.660019,1.851556,3.835863,0.965312
5,random_intensity,0.660019,1.851556,3.835863,0.965312
5,crux_no_compress,0.707456,1.744991,3.573042,0.965312
5,crux,0.660019,1.851556,3.835863,0.965312
6,random_same,0.581267,2.051684,4.269781,0.981480
6,random_intensity,0.581267,2.051684,4.269781,0.981480
6,crux_no_compress,0.657642,1.820677,3.398132,0.929099
6,crux,0.581267,2.051684,4.269781,0.981480
7,random_same,0.724309,1.531627,2.351563,1.201375
7,random_intensity,0.724309,1.531627,2.351563,1.201375
7,crux_no_compress,0.754244,1.462463,2.215870,1.171361
7,crux,0.724309,1.531627,2.351563,1.201375
8,random_same,0.595977,2.131229,4.439561,1.063715
8,random_intensity,0.595977,2.131229,4.439561,1.063715
8,crux_no_compress,0.659534,1.885656,3.630473,1.063715
8,crux,0.643439,1.928957,3.630473,1.063715
9,random_same,0.585715,1.986332,4.429121,0.978367
9,random_intensity,0.585715,1.986332,4.429121,0.978367
9,crux_no_compress,0.675662,1.737851,3.640816,0.956152
9,crux,0.619053,1.865973,3.947687,0.978367
10,random_same,0.585077,2.184818,5.114265,0.982288
10,random_intensity,0.585077,2.184818,5.114265,0.982288
10,crux_no_compress,0.655234,1.943093,4.222876,0.982288
10,crux,0.585077,2.184818,5.114265,0.982288
11,random_same,0.585837,2.314297,4.160369,1.017270
11,random_intensity,0.585837,2.314297,4.160369,1.017270
11,crux_no_compress,0.666413,2.035869,3.356804,1.017270
11,crux,0.587085,2.306958,4.131013,1.017270
12,random_same,0.666754,1.754161,3.250793,0.946465
12,random_intensity,0.666754,1.754161,3.250793,0.946465
12,crux_no_compress,0.743683,1.572579,2.682158,0.946465
12,crux,0.694907,1.694431,3.011872,0.946465
13,random_same,0.664712,1.749518,3.778830,0.973292
13,random_intensity,0.664712,1.749518,3.778830,0.973292
13,crux_no_compress,0.719517,1.595419,3.264356,0.943126
13,crux,0.699501,1.644478,3.358671,0.973292
14,random_same,0.644380,1.876217,3.557574,0.979563
14,random_intensity,0.644380,1.876217,3.557574,0.979563
14,crux_no_compress,0.678716,1.802469,3.304226,0.955450
14,crux,0.644380,1.876217,3.557574,0.979563
15,random_same,0.528772,2.877610,5.607985,1.049393
15,random_intensity,0.528772,2.877610,5.607985,1.049393
15,crux_no_compress,0.630880,2.444909,4.215304,1.021361
15,crux,0.551165,2.747324,5.315611,1.049393
16,random_same,0.538478,2.430353,4.971804,0.906687
16,random_intensity,0.538478,2.430353,4.971804,0.906687
16,crux_no_compress,0.646288,2.069420,3.640001,0.906687
16,crux,0.588751,2.283526,4.384495,0.906687
17,random_same,0.521090,2.661012,5.060257,1.065236
17,random_intensity,0.521090,2.661012,5.060257,1.065236
17,crux_no_compress,0.617771,2.315054,3.767319,1.001823
17,crux,0.578067,2.497469,4.394838,1.065236
18,random_same,0.641303,2.024696,3.860590,0.942957
18,random_intensity,0.641303,2.024696,3.860590,0.942957
18,crux_no_compress,0.654900,1.985414,3.860590,0.922162
18,crux,0.641303,2.024696,3.860590,0.942957
19,random_same,0.509669,2.436391,5.835255,0.992974
19,random_intensity,0.509669,2.436391,5.835255,0.992974
19,crux_no_compress,0.606107,1.962901,4.150449,0.992974
19,crux,0.584504,2.027074,4.197986,0.992974
