round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.662610,1.626525,3.213287,1.023721
0,random_intensity,0.680786,1.587811,3.213287,1.023721
0,crux_no_compress,0.736560,1.454311,2.713808,1.023721
0,crux,0.736560,1.454311,2.713808,1.023721
1,random_same,0.585919,2.145719,4.981227,0.986581
1,random_intensity,0.592231,2.131816,4.959565,0.986581
1,crux_no_compress,0.645837,1.903078,4.127383,0.973963
1,crux,0.644906,1.906233,4.127383,0.986581
2,random_same,0.611677,1.985021,4.397527,1.030563
2,random_intensity,0.621181,1.963248,4.397527,1.030563
2,crux_no_compress,0.693180,1.765375,3.621448,1.030563
2,crux,0.693180,1.765375,3.621448,1.030563
3,random_same,0.714151,1.503088,2.444038,1.039510
3,random_intensity,0.737361,1.456315,2.403343,1.039510
3,crux_no_compress,0.747101,1.435130,2.403343,1.011573
3,crux,0.747101,1.435130,2.403343,1.011573
4,random_same,0.686309,1.657550,2.807419,1.051007
4,random_intensity,0.716696,1.583578,2.676245,1.051007
4,crux_no_compress,0.758094,1.490803,2.397944,1.030559
4,crux,0.757193,1.494455,2.397944,1.030559
5,random_same,0.677271,1.686180,3.162656,1.018176
5,random_intensity,0.683610,1.673265,3.148296,1.018176
5,crux_no_compress,0.694947,1.649372,3.148296,1.018176
5,crux,0.694947,1.649372,3.148296,1.018176
6,random_same,0.609766,1.997432,4.034485,0.977620
6,random_intensity,0.626583,1.945527,3.919780,0.977620
6,crux_no_compress,0.698594,1.747661,3.257840,0.968611
6,crux,0.698594,1.747661,3.257840,0.968611
7,random_same,0.718491,1.549614,2.524929,1.058771
7,random_intensity,0.734114,1.517321,2.509601,1.058771
7,crux_no_compress,0.746412,1.491917,2.469147,1.044989
7,crux,0.746412,1.491917,2.469147,1.044989
8,random_same,0.605178,2.115958,4.662161,1.052094
8,random_intensity,0.619805,2.080810,4.662161,1.052094
8,crux_no_compress,0.677485,1.842989,3.705571,1.043492
8,crux,0.677485,1.842989,3.705571,1.043492
9,random_same,0.556999,2.324152,4.838454,0.952921
9,random_intensity,0.562261,2.307159,4.838454,0.952921
9,crux_no_compress,0.635928,2.034125,3.836820,0.940928
9,crux,0.635056,2.036561,3.836820,0.940928
10,random_same,0.655231,1.791171,3.496823,0.949990
10,random_intensity,0.669562,1.760702,3.496823,0.949990
10,crux_no_compress,0.672721,1.751709,3.476222,0.934617
10,crux,0.672721,1.751709,3.476222,0.934617
11,random_same,0.669514,1.817657,3.157365,1.019883
11,random_intensity,0.698123,1.746241,3.091581,1.019883
11,crux_no_compress,0.715678,1.701232,2.980087,1.003951
11,crux,0.712422,1.710118,2.980087,1.003951
12,random_same,0.625461,2.023350,3.983507,0.952814
12,random_intensity,0.632455,2.007361,3.983507,0.952814
12,crux_no_compress,0.705791,1.752897,3.016860,0.939292
12,crux,0.705791,1.752897,3.016860,0.939292
13,random_same,0.621279,2.001005,3.840839,0.939651
13,random_intensity,0.635486,1.949872,3.675747,0.939651
13,crux_no_compress,0.672543,1.847054,3.428542,0.929108
13,crux,0.672543,1.847054,3.428542,0.929108
14,random_same,0.618760,2.025987,3.878364,0.956798
14,random_intensity,0.637210,1.971790,3.715701,0.956798
14,crux_no_compress,0.688125,1.827927,3.144614,0.956798
14,crux,0.688125,1.827927,3.144614,0.956798
15,random_same,0.554100,2.551486,4.813898,0.961785
15,random_intensity,0.581964,2.413535,4.327065,0.961785
15,crux_no_compress,0.625856,2.248009,3.983973,0.933939
15,crux,0.625856,2.248009,3.983973,0.933939
16,random_same,0.482397,3.084499,5.476783,0.976073
16,random_intensity,0.562776,2.704161,3.994456,0.976073
16,crux_no_compress,0.593821,2.550776,3.794691,0.965913
16,crux,0.593821,2.550776,3.794691,0.965913
17,random_same,0.665179,1.828441,3.691071,1.042346
17,random_intensity,0.681766,1.792241,3.691071,1.042346
17,crux_no_compress,0.705347,1.700828,3.357163,1.020094
17,crux,0.701076,1.710553,3.357163,1.031327
18,random_same,0.512768,2.747376,5.774513,0.989823
18,random_intensity,0.540570,2.536640,4.964594,0.989823
18,crux_no_compress,0.615920,2.257428,4.021832,0.968559
18,crux,0.613511,2.285669,4.021832,0.968559
19,random_same,0.525645,2.425865,5.731157,1.026508
19,random_intensity,0.539648,2.380913,5.731157,1.026508
19,crux_no_compress,0.649925,1.890865,3.874880,1.011989
19,crux,0.649258,1.894495,3.874880,1.026508
